"Time (s)","X (hPa)"
8.403020987E2,1.017279510E3
8.413703537E2,1.017281799E3
8.424385887E2,1.017286377E3
8.435068567E2,1.017289429E3
8.445751277E2,1.017289429E3
8.456433807E2,1.017288513E3
8.467116297E2,1.017277603E3
8.477798987E2,1.017265244E3
8.488481567E2,1.017251892E3
8.499164517E2,1.017235870E3
8.509847427E2,1.017235870E3
8.520529307E2,1.017249832E3
8.531211507E2,1.017265625E3
8.541893877E2,1.017281418E3
8.552576137E2,1.017296371E3
8.563258557E2,1.017308502E3
8.573940987E2,1.017310486E3
8.584623087E2,1.017311859E3
8.595305637E2,1.017313843E3
8.605988047E2,1.017314835E3
8.616670857E2,1.017317352E3
8.627352687E2,1.017320328E3
8.638035127E2,1.017322464E3
8.648717977E2,1.017323456E3
8.659400237E2,1.017323456E3
8.670083067E2,1.017312927E3
8.680766077E2,1.017302170E3
8.691448457E2,1.017302170E3
8.702130907E2,1.017303009E3
8.712813827E2,1.017307434E3
8.723496697E2,1.017323532E3
8.734179477E2,1.017339096E3
8.744861787E2,1.017345200E3
8.755543827E2,1.017345200E3
8.766226187E2,1.017337646E3
8.776908657E2,1.017323303E3
8.787590997E2,1.017308273E3
8.798273807E2,1.017298813E3
8.808956417E2,1.017298813E3
8.819639387E2,1.017298889E3
8.830321527E2,1.017313004E3
8.841004347E2,1.017325897E3
8.851687547E2,1.017335281E3
8.862371097E2,1.017335281E3
8.873054957E2,1.017334824E3
8.883738257E2,1.017330399E3
8.894421387E2,1.017325897E3
8.905104887E2,1.017320938E3
8.915788417E2,1.017317581E3
8.926471857E2,1.017314835E3
8.937155247E2,1.017313614E3
8.947838717E2,1.017313614E3
8.958521397E2,1.017315750E3
8.969203697E2,1.017317657E3
8.979886667E2,1.017319870E3
8.990569807E2,1.017320099E3
9.001252707E2,1.017321167E3
9.011935887E2,1.017322083E3
9.022619077E2,1.017325134E3
9.033302237E2,1.017328720E3
9.043985177E2,1.017331238E3
9.054668457E2,1.017331848E3
9.065351247E2,1.017331848E3
9.076034007E2,1.017329865E3
9.086716397E2,1.017328949E3
9.097398457E2,1.017328949E3
9.108081267E2,1.017329788E3
9.118763877E2,1.017329788E3
9.129446397E2,1.017329178E3
9.140128687E2,1.017326431E3
9.150811317E2,1.017323761E3
9.161493477E2,1.017322083E3
9.172176287E2,1.017321014E3
9.182858257E2,1.017319946E3
9.193540447E2,1.017319946E3
9.204222447E2,1.017319717E3
9.214904767E2,1.017318802E3
9.225586947E2,1.017318649E3
9.236268927E2,1.017318649E3
9.246951387E2,1.017320175E3
9.257634157E2,1.017320709E3
9.268316347E2,1.017320786E3
